book,booktitle,author,state,removed,freqchal,pvi2,obama,cperhs,sexexp,antifamily,cmedin,cperba,days2000,occult,language,homosexuality,violence
359,Carl Makes a Scrapbook,"Day, Alexandra",MI,0,0,3.8,0,3.838042131,0,0,2966,-2.223729864,653,0,0,0,0
868,Harry Potter (series),"Rowling, J.K.",VA,0,1,-1.7,0,1.938042131,0,0,11296,5.476270136,480,1,0,0,0
1025,It's Perfectly Normal,"Harris, Robie",FL,0,1,-1.8,0,0.338042131,0,0,372,-1.723729864,420,0,0,0,0
1926,"Watsons Go to Birmingham, The","Curtis, Christopher Paul",VA,0,0,-1.7,0,1.938042131,0,0,11296,5.476270136,901,0,1,0,0
747,Garfield: His Nine Lives,"Davis, Jim",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1800,0,1,0,0
560,"Doing It Right:  Making Smart, Safe, and Satisfying Choices About Sex","Pardes, Bronwen",WI,0,0,2.4,1,5.538042131,1,0,4234.5,-1.623729864,3731,0,0,0,0
1970,When Plague Strikes,"Giblin, James Cross",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,180,0,0,0,0
607,"Earth, My Butt and Other Big Round Things, The","Mackler, Carolyn",SC,0,0,-7.8,1,-3.261957869,1,0,-2191.5,-3.623729864,3191,0,1,0,0
1061,Junie B. Jones is Captain Field Day,"Park, Barbara",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1800,0,0,0,0
868,Harry Potter (series),"Rowling, J.K.",IN,0,1,-6.2,1,2.538042131,0,0,1086.5,-4.623729864,3276,1,0,0,0
1223,Manga: Sixty Years of Japanese Comics,"Gravett, Paul",TN,0,0,-8.7,0,-3.661957869,1,0,-2995.5,-4.423729864,1924,0,0,0,0
1429,Paula,NA,VA,1,0,-1.7,0,1.938042131,0,0,11296,5.476270136,510,0,0,0,0
924,"Hotel New Hampshire, The","Irving, John",NH,0,0,1.6,1,7.838042131,1,0,17303,4.676270136,3179,0,0,0,0
1434,"Perks of Being a Wallflower, The","Chbosky, Stephen",IL,0,0,7.7,0,1.838042131,1,0,6489.5,2.076270136,2953,0,1,1,0
418,"Cold One, The","Pike, Christopher",NC,1,1,-4.3,0,-1.461957869,1,0,-310,-1.523729864,1050,0,1,0,1
2051,You Hear Me?,"Franco, Betsy",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1440,0,1,0,0
1855,Tweaked,"Moore, Patrick",MA,1,0,11.7,1,5.238042131,0,0,14048.5,9.176270136,3836,0,1,0,0
1653,Small Town,"Block, Lawrence",MI,0,0,3.8,NA,3.838042131,1,0,2966,-2.223729864,NA,0,0,0,1
301,"Boy Who Drank Too Much, The","Greene, Shep",CA,0,0,7.4,0,-2.761957869,0,0,10119,2.576270136,480,0,0,0,0
1673,Sons and Lovers,"Lawrence, D.H.",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1139,Like Sisters on the Homefront,"Williams-Garcia, Rita",PA,1,0,2,0,2.338042131,0,0,4218,-1.623729864,240,0,0,0,0
755,"Geology Book, The","Morris, Dr. John D.",WY,0,0,-19.7,1,8.338042131,0,0,4081.5,-2.123729864,3777,0,0,0,0
990,Murder Mysteries,"Gaiman, Neil and P. Craig Russell",OH,0,0,-0.7,0,3.438042131,1,0,2469,-2.923729864,2936,0,0,0,0
143,And Tango Makes Three,"Parnell, Peter and Justin Richardsonter Parnell",IN,0,0,-6.2,0,2.538042131,0,0,1086.5,-4.623729864,2868,0,0,1,0
1054,"Joy of Gay Sex, The","Silverstein, Dr. Charles and Felice Picano",MT,0,0,-7.1,1,7.638042131,1,0,-6482,0.376270136,3179,0,0,1,0
902,His Wicked Ways,"James, Samantha",OR,0,0,4,0,5.538042131,1,0,1274.5,1.076270136,1426,0,0,0,0
653,Extreme Elvin,"Lynch, Chris",GA,1,0,-6.8,0,-0.961957869,1,0,2239.5,0.276270136,1472,0,0,0,1
69,"Absolutely True Diary of a Part-Time Indian, The","Alexie, Sherman",NY,1,0,10.2,0,-0.461957869,0,0,5007.5,3.376270136,2859,0,1,0,0
1635,Sin City,"Miller, Frank",CA,0,0,7.4,0,-2.761957869,1,0,10119,2.576270136,2399,0,0,0,1
264,Blue Lipstick:  Concrete Poems,"Grandits, John",VT,0,0,13.4,1,6.838042131,1,0,8467,5.376270136,3279,0,0,0,0
993,My Brother Sam is Dead,"Collier, James Lincoln and Christopher Collier",NH,0,0,1.6,0,7.838042131,0,0,17303,4.676270136,480,0,1,0,0
1661,So Far From the Bamboo Grove,"Watkins, Yoko Kawashima",CA,0,0,7.4,0,-2.761957869,1,0,10119,2.576270136,294,0,0,0,1
342,Bury Me Deep,"Pike, Christopher",ID,1,1,-17.4,0,5.138042131,1,0,3194,-2.323729864,120,0,0,0,1
1984,"White Mercedes, The","Pullman, Philip",AR,0,1,-8.8,0,-4.261957869,1,0,-6258.5,-7.323729864,690,0,1,0,0
958,I Know Why the Caged Bird Sings,"Angelou, Maya",KY,0,1,-10.4,0,-5.461957869,0,0,-5880.5,-6.923729864,480,0,1,0,0
1785,There's a Hair in My Dirt,"Larson, Gary",VT,0,0,13.4,0,6.838042131,0,0,8467,5.376270136,245,0,0,0,0
342,Bury Me Deep,"Pike, Christopher",NC,0,1,-4.3,0,-1.461957869,0,0,-310,-1.523729864,990,0,1,0,0
330,Bumps in the Night,"Allard, Harry",MN,0,0,2.3,0,8.338042131,0,0,15378,3.376270136,50,1,0,0,0
1450,"Pinkerton, Behave!","Kellogg, Steven",NC,1,0,-4.3,0,-1.461957869,0,0,-310,-1.523729864,2943,0,0,0,1
2028,"Woman and the Ape, The","Hoeg, Peter",MI,0,0,3.8,NA,3.838042131,1,0,2966,-2.223729864,NA,0,0,0,0
1242,Mastering Multiple Position Sex,"Garrison, Eric Marlowe",OH,0,0,-0.7,1,3.438042131,1,1,2469,-2.923729864,3650,0,1,0,0
1083,King & King,"de Haan, Linda",NC,0,0,-4.3,0,-1.461957869,0,0,-310,-1.523729864,1620,0,0,1,0
1872,Uncle Bobby's Wedding,"Brannen, Sarah S.",PA,0,0,2,0,2.338042131,0,0,4218,-1.623729864,3152,0,0,1,0
995,In the Woods,"French, Tana",VA,0,0,-1.7,1,1.938042131,0,0,11296,5.476270136,3758,0,1,0,0
868,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.",MI,1,1,3.8,0,3.838042131,0,0,2966,-2.223729864,60,1,0,0,0
1183,Love & Sex,"Cart, Michael",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1251,Message Bible,"Peterson, Eugene H",NC,0,0,-4.3,1,-1.461957869,0,0,-310,-1.523729864,3798,0,0,0,0
1672,Song of the Lionness Series,"Pierce, Tamora",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,1426,0,0,0,0
712,Forever,"Blume, Judy",CO,0,1,-0.2,0,7.338042131,1,0,10346.5,8.676270136,1440,0,0,0,0
303,"Boy Who Lost His Face, The","Sachar, Louis",CA,0,0,7.4,0,-2.761957869,0,0,10119,2.576270136,1452,0,1,0,0
730,"Golden Compass, The","Pullman, Philip",PA,1,1,2,0,2.338042131,0,0,4218,-1.623729864,1140,1,0,0,1
1061,"Notebook Girls, The","Baskin, Julia",NJ,0,0,4.4,0,2.538042131,0,0,19935.5,5.776270136,2493,0,0,0,0
267,"Bluest Eye, The","Morrison, Toni",CO,1,1,-0.2,0,7.338042131,0,0,10346.5,8.676270136,2051,0,0,0,0
143,And Tango Makes Three,"Parnell, Peter and Justin Richardson",VA,0,1,-1.7,1,1.938042131,0,0,11296,5.476270136,3199,0,0,1,0
683,Feeling Sorry for Celia,"Moriarty, Jaclyn",NY,0,0,10.2,NA,-0.461957869,1,0,5007.5,3.376270136,NA,0,0,0,0
1460,"Pocket Book of Sex and Chocolate, The","Craze, Richard",OR,0,0,4,0,5.538042131,1,0,1274.5,1.076270136,990,0,0,0,0
1083,King & King,"de Haan, Linda",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,2310,0,0,1,0
1660,Snuff,"Palahniuk, Chuck",AZ,0,0,-6.1,1,1.438042131,0,0,3490.5,-0.523729864,3240,0,0,0,0
214,Beloved,"Morrison, Toni",OR,0,1,4,0,5.538042131,1,0,1274.5,1.076270136,990,0,1,0,1
1033,New Good Vibrations Guide to Sex,"Winks, Cathy",CO,1,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1426,0,0,0,0
774,Hair in Funny Places,"Cole, Babette",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,510,0,0,0,0
868,Harry Potter and the Chamber of Secrets,"Rowling, J.K.",MI,1,1,3.8,0,3.838042131,0,0,2966,-2.223729864,60,1,0,0,0
730,"Golden Compass, The","Pullman, Philip",KS,0,1,-11.5,1,6.438042131,0,0,144.5,1.776270136,3273,0,0,0,0
143,And Tango Makes Three,"Parnell, Peter and Justin Richardson",NC,0,1,-4.3,0,-1.461957869,0,0,-310,-1.523729864,3080,0,0,1,0
70,"Absolutely, Positively Not","LaRochelle, David",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1074,"Oh, How Silly!","Cole, William (Tomi Ungerer: Illus.)",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,1426,0,0,0,1
1088,Kira-Kira,"Kadohata, Cynthia",AL,0,0,-13.2,1,-4.261957869,0,0,-5054,-5.023729864,3240,0,1,0,0
1860,Twice Told Tales,"Hawthorne, Nathaniel",VT,0,0,13.4,1,6.838042131,0,0,8467,5.376270136,3224,0,1,0,0
1491,Question Quest,"Anthony, Piers",CA,1,0,7.4,0,-2.761957869,0,0,10119,2.576270136,120,1,0,0,0
1529,Richochet River,"Cody, Robin",OR,1,0,4,0,5.538042131,1,0,1274.5,1.076270136,480,0,1,0,0
516,Deal With It!,"Drill, Esther",AZ,1,0,-6.1,0,1.438042131,1,0,3490.5,-0.523729864,1800,0,0,0,0
251,Bleeder,"Dobyns, Stephen",KS,0,0,-11.5,0,6.438042131,0,0,144.5,1.776270136,480,0,0,0,1
237,Bisexual and Gay Husbands,"Klein, Fritz and Tom Schwartz, editors",OK,0,0,-16.9,0,1.038042131,0,0,-3087.5,-3.723729864,1800,0,0,0,0
636,Envy,"Brown, Sandra",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
424,Coming Out to Parents,"Borhek, Mary",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,1800,0,0,1,0
725,Freaky Friday,"Rodgers, Mary",PA,0,0,2,0,2.338042131,0,1,4218,-1.623729864,839,0,1,0,0
1738,"Summer Country, The","Hentley, James A.",CO,0,0,-0.2,0,7.338042131,1,0,10346.5,8.676270136,1800,0,1,0,0
1684,Speak,"Anderson, Laurie Halse",AZ,1,0,-6.1,0,1.438042131,1,0,3490.5,-0.523729864,480,0,1,0,1
753,Green Bible,NA,NC,0,0,-4.3,1,-1.461957869,0,0,-310,-1.523729864,3798,0,0,0,0
933,How It Works,"Marks, Graham",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1038,New X-Men Imperial,"Morrison, Grant",MD,0,0,8.5,0,4.238042131,0,0,19404.5,7.376270136,1791,0,1,0,1
1000,"Inner City Mother Goose, The","Merriam, Eve",MI,0,0,3.8,0,3.838042131,0,0,2966,-2.223729864,2236,0,1,0,1
920,Horse,"Chulton-Brock, Julie",MT,0,0,-7.1,0,7.638042131,0,0,-6482,0.376270136,1560,0,0,0,0
1728,Stupid White Men,"Moore, Michael",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,2014,0,0,0,0
2049,Yoko,"Wells, Rosemary",CA,1,0,7.4,1,-2.761957869,0,0,10119,2.576270136,3483,0,0,0,0
675,Fat Kid Rules the World,"Going, K.L.",PA,1,0,2,0,2.338042131,0,0,4218,-1.623729864,2452,0,1,0,0
1025,It's Perfectly Normal,"Harris, Robie",VA,1,1,-1.7,0,1.938042131,1,0,11296,5.476270136,2014,0,0,1,0
974,If On a Winter's Night a Traveler,"Calvino, Italo and William Weaver (translator)",IL,1,0,7.7,1,1.838042131,1,0,6489.5,2.076270136,3709,0,0,0,0
718,"Glass Castle, The","Walls, Jeannette",MD,0,0,8.5,1,4.238042131,1,1,19404.5,7.376270136,3871,0,1,0,0
1493,Rabble Rousers,"Harkness, Cheryl",CA,0,0,7.4,0,-2.761957869,0,0,10119,2.576270136,1697,0,0,0,0
386,"Charm School, The","DeMille, Nelson",MA,1,0,11.7,0,5.238042131,1,0,14048.5,9.176270136,0,0,0,0,0
1492,Rabbit (series),"Updike, John",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1731,"Stupid's Have a Ball, The","Allard, Harry",GA,0,0,-6.8,0,-0.961957869,0,0,2239.5,0.276270136,445,0,0,0,0
950,I Am Charlotte Simmons,"Wolfe, Tom",MO,0,0,-3.1,0,1.738042131,1,0,1279.5,-2.423729864,2400,0,1,0,0
1941,Whale Talk,"Crutcher, Chris",SC,1,1,-7.8,0,-3.261957869,0,0,-2191.5,-3.623729864,1780,0,0,0,0
546,Different Seasons,"King, Stephen",FL,0,0,-1.8,0,0.338042131,1,0,372,-1.723729864,720,0,0,0,0
1011,"Mystery of the Pirate Ghost, The","Hayes, Geoffrey",IN,0,0,-6.2,0,2.538042131,0,0,1086.5,-4.623729864,982,0,0,0,0
316,Bridge to Terabithia,"Paterson, Katherine",VA,0,0,-1.7,0,1.938042131,1,0,11296,5.476270136,1917,0,1,0,0
1035,New International Version Bible,International Bible Society,NC,0,0,-4.3,1,-1.461957869,0,0,-310,-1.523729864,3798,0,0,0,0
895,"Here's to You, Rachel Robinson","Blume, Judy",TN,1,1,-8.7,0,-3.661957869,0,0,-2995.5,-4.423729864,990,0,0,0,0
1507,Ransom,"Malouf, David",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
12,"A Child Called ""It""","Pelzer, Dave",DE,1,0,7,0,3.038042131,0,0,9167.5,0.976270136,180,0,1,0,1
12,"A Child Called ""It""","Pelzer, Dave",RI,1,0,11.2,1,-1.561957869,1,0,8141,1.576270136,3707,0,0,0,0
565,Don't Cramp My Style,"Fraustino, Lisa Rowe",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1018,"It's a Girl Thing:  How to Stay Healthy, Safe and In Charge","Jukes, Mavis",IL,1,0,7.7,1,1.838042131,1,0,6489.5,2.076270136,3697,0,1,0,0
608,East of Eden,"Steinbeck, John",PA,0,1,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
741,Gossip Girl (series),"Von Ziegesar, Cecily",MN,0,0,2.3,0,8.338042131,1,0,15378,3.376270136,2399,0,0,0,0
2023,Witness,"Hesse, Karen",AK,0,0,-13.4,0,8.738042131,0,0,15707.5,0.676270136,1351,0,0,0,0
273,Bone (series),"Smith, Jeff",MN,0,0,2.3,1,8.338042131,1,0,15378,3.376270136,3835,0,0,0,0
515,Deadline,"Crutcher, Chris",ID,1,1,-17.4,1,5.138042131,0,0,3194,-2.323729864,3595,0,1,1,0
1392,One Fat Summer,"Lipsyte, Robert",FL,1,0,-1.8,0,0.338042131,0,0,372,-1.723729864,0,0,1,0,0
657,"Facts Speak for Themselves, The","Cole, Brock",MA,0,0,11.7,0,5.238042131,1,0,14048.5,9.176270136,19,0,1,0,0
1887,Vaccines:  Are They Really Safe and Effective? A Parents Guide to Childhood Shots,"Miller, Neil Z.",VT,0,0,13.4,1,6.838042131,0,0,8467,5.376270136,3681,0,0,0,0
2060,Z is for Zombie,"Kutner, Merrily",NY,0,0,10.2,1,-0.461957869,0,0,5007.5,3.376270136,3156,0,0,0,0
888,Hellboy Junior,NA,OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,1958,0,0,0,0
1691,Spring Broke,"Welch, Nathaniel",OH,0,0,-0.7,0,3.438042131,1,0,2469,-2.923729864,2759,0,0,0,0
975,If the World Were a Village,"Smith, David",CA,0,0,7.4,0,-2.761957869,0,1,10119,2.576270136,1696,0,0,0,0
1557,Safe,"Shaw, Susan",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1262,Mind's Eye,"Kuper, Peter",LA,0,0,-9.7,1,-4.761957869,1,0,-5120.5,-5.323729864,3239,0,0,0,0
40,A Prayer for Owen Meany,"Irving, John",NH,1,0,1.6,1,7.838042131,1,0,17303,4.676270136,3405,0,1,0,0
438,Copper Sun,"Draper, Sharon",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1451,Pinky and Rex and the Bully,"Howe, James",MI,0,0,3.8,0,3.838042131,0,0,2966,-2.223729864,1200,0,0,1,0
1856,Twelve,"Myracle, Lauren",MI,0,1,3.8,1,3.838042131,0,0,2966,-2.223729864,3496,0,0,0,0
1836,Travel Team,"Lupica, Mike",OK,0,0,-16.9,0,1.038042131,0,0,-3087.5,-3.723729864,3006,0,1,0,0
6,1984,"Orwell, George",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
87,Aimee,"Miller, Mary Beth",IL,1,0,7.7,0,1.838042131,1,0,6489.5,2.076270136,1917,0,0,0,0
1638,"Sissy Duckling, The","Fierstein, Harvey",PA,0,0,2,0,2.338042131,0,0,4218,-1.623729864,1946,0,0,1,0
670,Fangoria's 101 Best Horror Movies You've Never Seen:  A Celebration of the World's Most Unheralded Fright Flicks,"Lukeman, Alan",VT,0,0,13.4,1,6.838042131,0,0,8467,5.376270136,3224,1,0,0,1
1000,"Inner City Mother Goose, The","Merriam, Eve",IL,1,0,7.7,1,1.838042131,0,0,6489.5,2.076270136,3697,0,1,0,1
1161,Locas In Love,"Hernandez, Gilbert and Jaime Hernandez",VA,0,0,-1.7,0,1.938042131,1,1,11296,5.476270136,2386,0,0,1,0
346,Busy Penguins,"Schindel, John",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1800,0,0,0,0
1805,"Thomasina, The Cat Who Thought She Was God","Gallico, Paul",IL,0,0,7.7,0,1.838042131,0,0,6489.5,2.076270136,597,0,0,0,0
1025,It's Perfectly Normal,"Harris, Robie",IN,0,1,-6.2,0,2.538042131,1,0,1086.5,-4.623729864,1917,0,0,1,0
723,Go Tell it on the Mountain,"Baldwin, James",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1930,We All Fall Down,"Cormier, Robert",KS,1,1,-11.5,0,6.438042131,0,0,144.5,1.776270136,1472,0,1,0,1
1236,"Mars, Vol. 10","Soryo, Fuyumi",MI,0,0,3.8,0,3.838042131,1,0,2966,-2.223729864,2950,0,0,0,0
1092,"Kite Runner, The","Hosseini, Khaled",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
173,Attack of the Mutant Underwear,"Birdseye, Tom",FL,1,0,-1.8,0,0.338042131,0,0,372,-1.723729864,1800,0,0,0,0
63,Abduction,"Kehret, Peg",AL,0,0,-13.2,1,-4.261957869,0,0,-5054,-5.023729864,3240,0,0,0,0
656,"Face on the Milk Carton, The","Cooney, Caroline B.",IL,1,0,7.7,1,1.838042131,0,0,6489.5,2.076270136,3247,0,0,0,0
1657,Snow Falling on Cedars,"Guterson, David",VA,0,0,-1.7,0,1.938042131,1,0,11296,5.476270136,1917,0,0,0,0
1273,Mistral's Kiss,"Hamilton, Laurell K.",MN,0,0,2.3,0,8.338042131,0,0,15378,3.376270136,2772,0,1,0,0
374,"Catcher in the Rye, The","Salinger, J.D.",SC,0,0,-7.8,0,-3.261957869,0,0,-2191.5,-3.623729864,660,0,1,0,0
272,Bombers of World War II,"Donald, David",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,990,0,0,0,0
1814,Timespan Spies,"Healey, Tim",CA,0,0,7.4,0,-2.761957869,0,0,10119,2.576270136,480,0,0,0,1
1523,Remember Me 3: The Last Story,"Pike, Christopher",ID,1,1,-17.4,0,5.138042131,1,0,3194,-2.323729864,120,0,0,0,1
267,"Bluest Eye, The","Morrison, Toni",CO,1,1,-0.2,0,7.338042131,1,0,10346.5,8.676270136,2040,0,0,0,0
1021,Naruto 1:  The Tests of the Ninja,"Kishimoto, Masashi",MI,0,0,3.8,1,3.838042131,0,0,2966,-2.223729864,3859,0,0,0,0
6,1984,"Orwell, George",AZ,1,0,-6.1,0,1.438042131,1,0,3490.5,-0.523729864,847,0,0,0,0
1438,Peter and the Wolf,Loriot,OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,1426,0,0,0,0
738,Full Court Press,"Lupica, Mike",ND,0,0,-10.4,1,4.338042131,0,0,-813,-2.023729864,3224,0,1,0,0
1502,Rainbow High,"Sanchez,Alex",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1177,"Lords of Discipline, The","Conroy, Pat",WI,1,0,2.4,0,5.538042131,1,0,4234.5,-1.623729864,1050,0,1,0,1
1029,Never Quite Dead,"Shubin, Seymour",NC,0,0,-4.3,0,-1.461957869,0,0,-310,-1.523729864,1130,0,1,0,0
762,Guess What?,"Fox, Mem",IN,0,0,-6.2,0,2.538042131,0,0,1086.5,-4.623729864,1050,0,0,0,0
1055,"Joy of Sex, The","Comfort, Alex",KS,1,0,-11.5,1,6.438042131,1,0,144.5,1.776270136,3289,0,0,0,0
1121,"Lessons in Evil, Lessons From the Light","Feldman, Gail",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,510,0,0,0,0
982,Scary Stories to Tell in the Dark,"Schwartz, Alvin",OK,1,1,-16.9,0,1.038042131,0,0,-3087.5,-3.723729864,3014,0,0,0,0
